School,Basic Info,,,,Interview Info,,,,Decision Communication,,,Scholarship Info,,,
U. of Southern California,17,Yes,Incomplete > Complete > Committee 1st Read > Committee 2nd Read > Final Read > Decision Made,Likely to start releasing decisions mid-December,No,N/A,N/A,N/A,Email: USC Gould School of Law - Congratulations,Email w/ subject 'USC Gould School of Law - Decision Letter',Email w/ subject 'USC Gould School of Law - Decision Letter',Yes,"Begin to distribute in February
",,
Vanderbilt,18,Yes,Check marks on all items (complete) > Decision,"Known for ghosting people in the past, seems to be doing tiny waves 2-4 times/week this year.","Yes, must request in application prior ot mid November",No,"Email from Vanderbilt telling you that an alumnus in your area has been contacted, then email from alumnus withing 2 weeks to schedule the interview","General questions, why Vanderbilt, type of law you want to practice, why do you want to be a lawyer, anything you'd like to add that's not in your application","Email with the subject ""Vanderbilt Law School Application Update"" directs you to check status checker","Email with the subject ""Vanderbilt Law School Application Update"" directs you to check status checker","Email with the subject ""Vanderbilt Law School Application Update"" directs you to check status checker",Yes,"Not always sent with decision

Seem to be sent in waves (Fridays?)",Yes. Complete FAFSA and CSS Profile,
Washington University (St. Louis),18,Yes,Received > Complete > ?,"The status checker doesn't update after complete, watch your email for updates! Email is used for acceptances, interview requests, and scholarships.

General time between interview and acceptance is 1-2 weeks","Yes, invite only?",,Email,"Interviews are with someone in the admissions office. Very low key, ost people hear within a few weeks of interview.","Phone call, email the next day. If you miss the phone call, they will leave a voicemail and follow-up via email same day",,,Yes,Sent by email after acceptance,,
Minnesota,20,Yes,Received > Complete > Waiting for Review > In Review > Decision,,No,N/A,N/A,N/A,"Phone call (612), email later",Email,,Yes,Merit aid provided with or shortly after admission,,
Notre Dame,21,Yes,"? > Complete > Decision Sent
",,Yes,No,,Only some applicants; in person or via phone,"Email with subject ""Congratulations from Notre Dame Law School""",Email from lawyer@nd.edu with subject line 'Notre Dame Law School - Waitlist' (snail mail generally arrives later),Snail mail,Yes,,,
George Washington,22,Yes,? > Complete > Under Review > Decision Made,Decision email can take up to 24 hours to arrive,No,N/A,N/A,N/A,Email - Congratulations from George Washington Law,"email from waitlist@law.gwu.edu w/ subject ""GW Law Decision Enclosed"" ",,Yes,Emailed with or soon after acceptance,,
Boston U.,23,No,"From BU: ""Whenever the status of your application changes, we will notify you by email.""","No email updates after ""complete and ready for review"" update",No,N/A,N/A,N/A,"Phone call (617), snail mail acceptance letter soon after",Email from waitlist@bu.edu w/ subject 'Boston University School of Law Application Decision',Email from bulawadm@bu.edu with subject line “Boston University School of Law Application Decision”,Yes,"Sent with mailed acceptance letter","Yes - there is a separate form on BU's website to submit a financial aid request with a deadline of 3/1. Forms submitted late will still be considered, but not given priority.",
U. California (Irvine),23,Yes,Received > Under Review > Review Complete,,No,N/A,N/A,N/A,Email,"Email from admissions.law.uci.edu with subject line ""Your UCI Law Decision is Waiting for You"" - check status checker for decision",,Yes,Email after acceptance,,
Alabama,25,Yes,Received > Complete > Application Under Review > ?,,No,N/A,N/A,N/A,Call from admissions officer,"Email, Alabama Law Status",,Yes,,,
Emory,26,No*,"*Emory Opus is as close as it gets. If it says pay seat deposit on the admission tab, you're in.

https://saprod.emory.edu/psp/saprod/?cmd=login",Started releasing decisions on MLK day (1/20/20),No,N/A,N/A,N/A,FedEx or USPS letter,,,Yes,With acceptance letter. Maybe not all the time?,,
Arizona State,27,Yes,Received > Complete > Under Review > Decision,Very fast turnaround for all decisions - shouts out to ASU Law Adcoms!,No,N/A,N/A,N/A,"Call from Dean Sylvester, followed by email",,Email,Yes,Emailed with admit letter,,
Boston College,27,Yes,Application processing > Complete > Under Review,,No,N/A,N/A,N/A,Email  “Congratulations from Boston College Law School”,"Email ""We are impressed with your credentials; however..."" with a Waitlist FAQ attachment",,Yes,,,
U. Georgia,27,Yes,Received > Complete > Under Review > Decision,"Went under review quickly

Admissions appears to be rolling rather than waves",No,N/A,N/A,N/A,"Email with subject ""UGA School of Law Decision Letter""",,,Yes,Emailed after admission email: UGA School of Law Scholarship Award,,
Iowa,27,,,,No,N/A,N/A,N/A,"Email from the dean; Email title: ""Welcome to Iowa Law""",,,Yes,,,
U. California (Davis),31,Yes,Received > Complete > Under Review > Decision Has been Mailed,,No,N/A,N/A,N/A,Email: Congratulations! You're Admitted to UC Davis School of Law!!,"Email from admissions, w/ subject 'Application Update'",,Yes,"Starting in December or January
Admission email states gift aid will arrive via email within 2-5 days of acceptance",Yes,
U. Florida,31,Yes,Complete > Submitted For Review > Decision Made,"Common for the resume to be ""missing"" after other LSAC materials are received. Will automatically process after a few days.",No,N/A,N/A,N/A,"Call, Email - up to 24 hours after Decision Made update in tracker",,,Yes,,,
Wake Forest,31,Yes,Received > Complete > Your application is under review > Decision rendered via email,First RD decisions released 1/30/20,Yes,No,,"Available to all, by applicant request; in-person on campus or via webcam","Email - ""Congratulations from Wake Forest Law, (Name)""",Email,,Yes,"ED: with acceptance email
RD: Email ""Important: Scholarship Offer Enclosed"" - amount is per-year and renewable",,
Indiana - Bloomington,34,Yes,"Received > ""Complete - Ready for Review"" > ""File Complete - In Review""","""First round of decisions will be sent out in mid-December""",No,,,,Email with subject 'Congratulations! Welcome to Indiana Law.',,,Yes,Included in acceptance email,,
Ohio State,34,Yes,,"Generally 6-8 weeks, but very fast turnaround for people above medians",No,N/A,N/A,N/A,Email,,,Yes,There goal is to email aid within 3 weeks of decisions (but as of late November 2019 they're behind schedule),,
U. North Carolina (Chapel Hill),34,Yes,Supplemental Application Needed > Received > Complete > Decision,"2-3 days after you submit via LSAC, you will get an email asking you to complete a supplemental app, and that will take 3-5 days to process

From status checker: ""Your status will remain at Application Complete until a decision is rendered (i.e. it will not change when your file is under review)""",No,N/A,N/A,N/A,"Status checker, email ""UNC School of Law Congratulates You""",,,Yes,"Email following acceptance email: UNC School of Law Scholarship Award

Reconsideration form available here: https://law.unc.edu/wp-content/uploads/2019/09/scholarshipreconsideration.docx",,
Wisconsin Madison,34,Yes,Received > Complete > In Review > Decision,App takes 10 - 12 weeks maximum to review,Yes,No,,Only for select international applicants,Email,Email,,Yes,,,
Washington & Lee,34,Yes,Received > Complete > In Review > ?,,No*,N/A,N/A,*interviews are offered to wait-listed applicants (in-person during campus visits or via phone),"Status checker, email ""Congratulations on Your Admission to W&L Law!""",,,Yes,Same day as acceptance; via status checker,,
Brigham Young,39,,,,Yes,,N/A,N/A,,,,Yes,,,
Fordham,39,Yes,Incomplete > Complete > Complete *Date Change* > Decision,"Once application goes Complete on status checker it will update with dates, but they don't seem to indicate anything",No,N/A,N/A,N/A,"Email, status checker, snail mail about a week after
",,,Yes,Emailed about a week after admission,,
U Arizona,39,Yes,Received > Application check list will fill in until complete > Decision,,No,N/A,N/A,N/A,,,,Yes,,,
U Illinois UC,39,Yes,,"Can take 4+ weeks to go ""in review""",No,N/A,N/A,N/A,Email,,,Yes,In acceptance email,,
William & Mary,39,Yes,Application Received > Complete > Under Review > Application pending final review > Decision,"Decisions status changes, not current status",No,N/A,N/A,N/A,"Status checker and Email: ""You Have Been Admitted to William & Mary Law School""","Email w/ subject, 'William & Mary Law School Decision'",,Yes,Scholarship is shown at the bottom of the status checker and in acceptance email,,
U Washington,44,Yes,Application Received > Application Complete > Under Review > Decision,,No,N/A,N/A,N/A,"Email w/ subject ""University of Washington School of Law - Congratulations!""",,Email w/ subject 'University of Washington School of Law - Decision',Yes,"Separate application needed. Due March 15th, rewards are announced the following week.",,
George Mason,45,No,N/A,Varies from weeks to months,"Yes, invite only",No,Email from interviewer,Primarily borderline and yield protect,"Call, followed by email",,,Yes,Awarded starting ~Dec. 9; email; not with acceptance,,
U Colorado Boulder,45,Yes,Recieved > Complete > UR > Decision Rendered,Usually quick turnaround (~3 weeks),No,N/A,N/A,N/A,"Email w/ subject ""University of Colorado Law School - Decision""",,Email,Yes,"Sometimes in decision email, sometimes in a follow up email sometime in the future",,
U Utah,47,Yes,Application Received > Application Complete,"Early decision notification in beginning of November. 

Regular decision notifications begin in December",No,N/A,N/A,N/A,"Call, Email and Letter at a later date",,,Yes,,,
Baylor,48,Yes,Received > Complete > Decision Letter Sent,"Often quick turnaround, within 2 weeks",Yes,No,,,"Status checker will update to ""decision letter mailed."" You can call and ask them what the decision is as soon as your status checker changes to this.",Status Checker,,Yes,"Merit scholarships released with decision (in the admission packet, but you can also call and ask)",,
"Florida State
",48,Yes,Received > Complete > Under Review > Decision Rendered,"Often quick turnaround, within 3 weeks. After you go under review it is typically a few days till you get a decision.",Yes,No,N/A,Can interview with an alum,Call/Voicemail,,,Yes,Merit scholarship information is in the acceptance packet that is mailed.,,
Temple,48,Yes,Received > Complete > Under Review > Decision,,No,N/A,N/A,N/A,"Status Checker will update, and you'll be invited to access the Admitted Students website",,,Yes,"For Beasley Scholarship: via email, snail mail later",,
Pepperdine,51,Yes,Received > Complete > Under Review > Decision,,No,N/A,N/A,N/A,"Phone call, email",,,Yes,,,
Southern Methodist,52,Yes,Received > Complete > Decision,"Often quick turnaround, within 2 weeks",No,N/A,N/A,N/A,"Phone call, snail mail letter, status checker updates to ""Admitted""",,,Yes,"Phone call acceptance and official mail packet state that the financial aid budget will not be finalized until Jan.2020; Dean's scholarships decisions will not be officially released until then, earliest. Status checker will update and there will also be a notification via snail mail",,
Tulane,52,Yes,? > In Review > ?,,No,N/A,N/A,N/A,"Email from the Dean",,,Yes,Scholarship information is released in the acceptance email,,
UConn,52,,,Received > Complete > Application in Review,No,N/A,N/A,N/A,,,,Yes,,,
U Maryland,52,Yes,"Received > Complete > Under Review > Decision Made

Decision Status (not Current Status) changes to ""Interview"" for scholarship interviews > Decision",,"Yes, scholarship only (?)",No,,,"Email, ""Congratulations on your admission and scholarship award"", status checker",,,Yes,"Leadership Scholars requires separate application/interview. You will get an email, and your status checker will indicate that you have been offered and interview.",,
U Richmond,52,Yes,? > Decision,"Quick turnaround, often within 1-2 weeks",No,N/A,N/A,N/A,"Call from Director of Admissions (804), snail mail letter, status checker updates to ""Admitted""",,,Yes,"Email - started 12/6 - Subject: ""Scholarship Award Release""",,
Cardozo,52,Yes,Received > Complete > Complete and Under Review,Likely no movement until January,No,N/A,N/A,N/A,Email,,,Yes,Possibly with acceptance,,
U. Nevada (Las Vegas),58,Yes,? > Decision,"Often quick turnaround, within 2 weeks",No,N/A,N/A,N/A,"Status checker, then phone call, sometimes next day",Email,,Yes,Usually in phone call,,
Seton Hall,59,Yes,Received > Complete > File Has Been Placed in Review > Decision,Generally within 4 weeks of going coplete,,,,,Emailed to check status checker,,,Yes,On status checker,,
U Houston,59,Yes,? > Complete > File in Review > ?,"Usually UR within a week or 2, timeline variable",No,N/A,N/A,N/A,,,,Yes,,,
U Tennessee - Knoxville,59,Yes,,,,No,,,"Call (voicemail left), email the next day",,,Yes,Not sent with decision,,
Loyal Marmount University,62,Yes,,,No,,,,Email with subject: Loyola Law School | Los Angeles - Decision Rendered,,,Yes,By mail 3-4 days after acceptance email,,
UC Hastings,62,Yes,Received > Complete > Application in Review > Decision Rendered,"Some UR date changes, unsure on meaning ",Yes,No,Email,,Email with subject: UC Hastings Admission Decision,,,Yes,Comes with acceptance email,,
Northeastern,64,Yes,Received > Incomplete > Complete > Decision Link,,,,,,Link in status checker,,,Yes,Possibly with acceptance,,
Penn State (University Park),64,Yes,Received > Complete > Under Review > Decision,Timeline to UR can be extremely short or 2+ weeks,,,,,"Via Status Checker, letter via snail mail",,,Yes,,,
University of Missouri,64,,,,,,,,,,,Yes,,,
Georgia State University,67,Yes,Recieved > Complete > UR > ?,,,,,,,,,Yes,,,
U. Denver (Sturm),67,Yes,Application Recieved > Application Incomplete (if no CAS report within 1st week) > Complete / Ready for Review > In Review > Decision Made,,,,,,Email,,,Yes,,,
U. Kansas,67,,,,,,,,,,,Yes,,,
U. Miami,67,Yes,Received > Complete > UR > Decision,,,,,,Status checker and email; sometimes phone call,,,Yes,Often with acceptance email,,
Brooklyn Law School,71,Yes,Received > Complete > UR > Decision,Often within 2 weeks,,,,,Email,,Email and status checker,Yes,Often with acceptance email,,
Case Western Reserve,71,,eceived > Complete > Committee Review Stage 1 of 2 > CR Stage 2 of 2 > ?,,,,,,,,,Yes,,,
Penn State (Dickinson),71,Yes,? > Complete > ?,Seems somewhat common to not receive the status checker email,,,,,Email,,,Yes,With acceptance,,
U. Kentucky,71,,,,,,,,,,,Yes,,,
U. Oklahoma,71,No,,,,,,,"Phone call from admissions OU Law; Email follow next day, snail mail admissions package with $$ info",,,Yes,,,
Villanova,71,,,,"Yes, invite only",,,,Phone call from Asst. Dean,,,Yes,,,
American,77,Yes,Application Received > Application Complete > ?,,,No,,,Email: American University Washington College of Law Decision Notice,,,Yes,Merit Aid info will be released in February,Yes,
Loyola,77,Yes,,,,,,,Email: Congratulations from Loyola University Chicago School of Law,,,Yes,With acceptance email,,
Rutgers,77,,,,,,,,Email and snail mail 1-2 weeks later with scholarship info. Status checker updated same day,,,Yes,Snail mail 1-2 weeks after acceptance,,
St. John's,77,,,,Yes,,Email,,Email and snail mail week later. Status checker updated same day.,,,Yes,With acceptance email,,
U. Nebraska (Lincoln),77,Yes,Complete > In Review > Decision,"Complete to UR can be extremely quick, some decisions within 3 weeks",,No,,,Phone Call,,,Yes,Told on acceptance phone call,,
U. Pittsburgh,77,,,,,,,,,,,Yes,,,
Texas A&M,83,Yes,,,,,,,Sends email titled: Welcome to Texas A&M Law!,,,Yes,,,
U. Cincinnati,83,,,,,,,,,,,Yes,,,
U. Oregon,83,,,,,,,,,,,Yes,,,
U. San Diego,86,Yes,,,,,,,Email. Subject: USD Law Admissions - Decision Rendered,,,Yes,Separate email after acceptance,,
Illinois Institute of Tech (Chicago Kent),87,,,,,,,,,,,Yes,,,
U. New Hampshire,87,Yes,Application Received > Under Review > Decision,"Quick turnaround, sometimes under 2 weeks",,No,,,"Phone call (from 217 or 603 area code), email several hours later",,,Yes,Informed upon acceptance,,
U. Tulsa,87,,,,,,,,,,,Yes,,,
Saint Louis,90,,,,,,,,,,,Yes,,,
Florida International,91,,,,,,,,,,,Yes,,,
Marquette,91,Yes,Under Review > Notification Sent,"Quick turnaround, around 3 weeks",,No,,,"Email, mail",,,Yes,"Information will become available in late January, early February",,
Michigan State,91,,,,,,,,,,,Yes,,,
Syracuse,91,,,,,,,,,,,Yes,,,
U. Arkansas (Fayetteville),91,,,,,,,,,,,Yes,,,
U. Hawaii (Richardson),91,Yes,,"Quick turnaround, around 3 weeks",,No, ,,Call from Admissions Director (808),,,Yes,,,
U. New Mexico,91,,,,,,,,,,,Yes,,,
U. South Carolina,91,Yes,,"Quick turnaround, sometimes under 2 weeks",,No,,,"The status checker will update in the morning of the day of acceptance. The email does not come until the evening of the day of acceptance.
Email: Congratulations from the University of South Carolina School of Law!",,,Yes,"In mailed admissions packet or a later mailing. You may receive an email that you have qualified for merit aid, but the actual amount is not disclosed in email (amount disclosed in snail mail)",,
Wayne State,91,,,,,,,,,,,Yes,,,
Drexel (Kline),100,,,,,,,,,,,Yes,,,
Hofstra (Deane),100,,Complete > File Pending Review >  File with Admissions Committee >  Decision,Decisions often made in about a month,,,,,,"Status checker updated, and a couple hours later I got an email about being waitlisted",,Yes,,,
Louisian State (Hebert),100,,,,,,,,,,,Yes,,,
West Virginia,100,Yes,Received > In review > Decision,Decisions often in under a month,No,N/A,,,"Email with ""WVU College of Law Application Status""",,,Yes,Comes in acceptance packet in snail mail,,
Santa Clara,104,Yes,? > Under Review > Decision,,"Yes, for Tech Edge (Zoom)","No (general application), Yes for Tech Edge JD",Email,Asks basic questions like Why Law/Why Santa Clara,"Email with subject ""Congratulations from Santa Clara Law""",,,Yes,Comes with acceptance packet in snail mail,,
Catholic,108,Yes,? > Decision,,,,,,Status checker and email,,,Yes,,,
Indiana (McKinney),108,Yes,Complete > ?,,,,,,,,,Yes,,,
U. Mississippi (Ole Miss),108,Yes,Received > Decision,Offers CAS fee waivers,,No,,,"Email with subject ""Congratulations - You're In!"" and call from Dean a few days later",,,Yes,In acceptance email,,
Duquesne U,122,Yes,Received > Under Review > Decision,,No,N/A,,,"Email with Subject ""Congratulations and Welcome to the Duquesne Law Family!""",,,Yes,,,
U. Maine,126,Yes,Received > Decision,Often give decisions within ~3 weeks,,No,,,"Email: ""Welcome to Maine Law!""",,,Yes,"Not in acceptance email, possibly in snail-mail admissions packet",,
Suffolk,143,"
",Complete > File complete - with admissions committee > Decision,Varies from 2 days to much longer,,,,,Email,,,Yes,"Email, usually soon after acceptance email",,
Widener (Commonwealth),UR,,,,,,,,,,,Yes,"Email, usually soon after acceptance email.",,
University of San Francisco,,,Application Complete > Decision,Some decisions in 2-3 weeks,,No,,,Email with subject: Congratulations! Your future starts now,,,,,,
